idTemporada,#,nombre,posición,nacionalidad,club,idClub,partidosJugados,asistencias,penales,minutosJugados,minutosPorGol,golesPorPartido,goles
T7,3,Ronaldinho,Extremo izquierdo,Brasil,FC Barcelona,C11,32,9,7,2736.0,130.0,66.0,21.0
T7,4,Frédéric Kanouté,Delantero centro,Malí,Sevilla FC,C36,32,1,5,2589.0,123.0,66.0,21.0
T7,5,Diego Forlán,Delantero centro,Uruguay,Villarreal CF,C40,36,1,1,3013.0,159.0,53.0,19.0
T7,6,David Villa,Delantero centro,España,Valencia CF,C39,36,6,2,2930.0,195.0,42.0,15.0
T7,7,Raúl Tamudo,Delantero centro,España,RCD Espanyol,C21,31,1,3,2389.0,159.0,48.0,15.0
T7,8,Fernando Baiano,Delantero centro,Brasil,RC Celta,C19,35,0,1,2992.0,199.0,43.0,15.0
T7,9,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,26,2,0,1995.0,143.0,54.0,14.0
T7,10,Fernando Torres,Delantero centro,España,Atlético Madrid,C3,36,0,4,3088.0,221.0,39.0,14.0
T8,1,Dani Güiza,Delantero centro,España,RCD Mallorca,C22,37,7,0,3011.0,112.0,73.0,27.0
T8,2,Luís Fabiano,Delantero centro,Brasil,Sevilla FC,C36,30,2,2,2318.0,97.0,80.0,24.0
T8,3,Sergio Agüero,Delantero centro,Argentina,Atlético Madrid,C3,37,10,0,2920.0,154.0,51.0,19.0
T8,4,Raúl,Mediapunta,España,Real Madrid,C26,37,6,3,3113.0,173.0,49.0,18.0
T8,5,David Villa,Delantero centro,España,Valencia CF,C39,28,6,3,2058.0,114.0,64.0,18.0
T8,6,Nihat Kahveci,Delantero centro,Turquía,Villarreal CF,C40,34,5,0,2126.0,118.0,53.0,18.0
T8,7,Ricardo Oliveira,Delantero centro,Brasil,Real Zaragoza,C32,37,3,1,2688.0,149.0,49.0,18.0
T8,8,Frédéric Kanouté,Delantero centro,Malí,Sevilla FC,C36,30,4,1,2179.0,136.0,53.0,16.0
T8,9,Ruud van Nistelrooy,Delantero centro,Países Bajos,Real Madrid,C26,24,4,3,1883.0,118.0,67.0,16.0
T8,10,Samuel Eto'o,Delantero centro,Camerún,FC Barcelona,C11,18,3,0,1497.0,94.0,89.0,16.0
T9,1,Diego Forlán,Delantero centro,Uruguay,Atlético Madrid,C3,33,10,6,2807.0,88.0,97.0,32.0
T9,2,Samuel Eto'o,Delantero centro,Camerún,FC Barcelona,C11,36,3,2,2933.0,98.0,83.0,30.0
T9,3,David Villa,Delantero centro,España,Valencia CF,C39,33,6,8,2870.0,103.0,85.0,28.0
T9,4,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,31,13,3,2513.0,109.0,74.0,23.0
T9,5,Gonzalo Higuaín,Delantero centro,Argentina,Real Madrid,C26,34,12,3,2640.0,120.0,65.0,22.0
T9,6,Thierry Henry,Delantero centro,Francia,FC Barcelona,C11,29,7,0,2112.0,111.0,66.0,19.0
T9,7,Álvaro Negredo,Delantero centro,España,UD Almería,C37,34,5,4,2811.0,148.0,56.0,19.0
T9,8,Raúl,Mediapunta,España,Real Madrid,C26,37,8,0,2985.0,166.0,49.0,18.0
T9,9,Frédéric Kanouté,Delantero centro,Malí,Sevilla FC,C36,34,7,2,2660.0,148.0,53.0,18.0
T9,10,Sergio Agüero,Delantero centro,Argentina,Atlético Madrid,C3,37,12,0,2935.0,173.0,46.0,17.0
T10,1,Lionel Messi,Extremo derecho,Argentina,FC Barcelona,C11,35,11,1,2841.0,84.0,97.0,34.0
T10,2,Gonzalo Higuaín,Delantero centro,Argentina,Real Madrid,C26,32,7,0,2383.0,88.0,84.0,27.0
T10,3,Cristiano Ronaldo,Delantero centro,Portugal,Real Madrid,C26,29,9,4,2462.0,95.0,90.0,26.0
T10,4,David Villa,Delantero centro,España,Valencia CF,C39,32,2,3,2701.0,129.0,66.0,21.0
T10,5,Diego Forlán,Delantero centro,Uruguay,Atlético Madrid,C3,33,7,3,2550.0,142.0,55.0,18.0
T10,6,Zlatan Ibrahimović,Delantero centro,Suecia,FC Barcelona,C11,29,9,2,2029.0,127.0,55.0,16.0
T10,7,Roberto Soldado,Delantero centro,España,Getafe CF,C12,26,3,3,2260.0,141.0,62.0,16.0
