idTemporada,#,club,idClub,partidos,ganados,empatados,perdidos,golesAFavor,golesEnContra,+/-,porcentajeVictorias,porcentajeDerrotas,puntos
T4,11,RCD Mallorca,C22,38,15,6,17,54,66,-12,39.473684210526315,44.73684210526316,51
T4,12,Real Zaragoza,C32,38,13,9,16,46,55,-9,34.21052631578947,42.10526315789473,48
T4,13,CA Osasuna,C4,38,11,15,12,38,37,1,28.947368421052634,31.57894736842105,48
T4,14,Albacete,C1,38,13,8,17,40,48,-8,34.21052631578947,44.73684210526316,47
T4,15,Real Sociedad,C29,38,11,13,14,49,53,-4,28.947368421052634,36.84210526315789,46
T4,16,RCD Espanyol,C21,38,13,4,21,48,64,-16,34.21052631578947,55.26315789473685,43
T4,17,Racing,C23,38,11,10,17,48,63,-15,28.947368421052634,44.73684210526316,42
T4,18,Real Valladolid,C31,38,10,11,17,46,56,-10,26.31578947368421,44.73684210526316,41
T4,19,RC Celta,C19,38,9,12,17,48,68,-20,23.684210526315788,44.73684210526316,39
T4,20,Real Murcia,C27,38,5,11,22,29,57,-28,13.157894736842104,57.89473684210527,26
T5,1,FC Barcelona,C11,38,25,9,4,73,29,44,65.78947368421053,10.526315789473683,84
T5,2,Real Madrid,C26,38,25,5,8,71,32,39,65.78947368421053,21.052631578947366,80
T5,3,Villarreal CF,C40,38,18,11,9,69,37,32,47.368421052631575,23.684210526315788,65
T5,4,Real Betis,C25,38,16,14,8,62,50,12,42.10526315789473,21.052631578947366,62
T5,5,RCD Espanyol,C21,38,17,10,11,54,46,8,44.73684210526316,28.947368421052634,61
T5,6,Sevilla FC,C36,38,17,9,12,44,41,3,44.73684210526316,31.57894736842105,60
T5,7,Valencia CF,C39,38,14,16,8,54,39,15,36.84210526315789,21.052631578947366,58
T5,8,RC Deportivo,C20,38,12,15,11,46,50,-4,31.57894736842105,28.947368421052634,51
T5,9,Athletic,C2,38,14,9,15,59,54,5,36.84210526315789,39.473684210526315,51
T5,10,Málaga CF,C18,38,15,6,17,40,48,-8,39.473684210526315,44.73684210526316,51
T5,11,Atlético Madrid,C3,38,13,11,14,40,34,6,34.21052631578947,36.84210526315789,50
T5,12,Real Zaragoza,C32,38,14,8,16,52,57,-5,36.84210526315789,42.10526315789473,50
T5,13,Getafe CF,C12,38,12,11,15,38,46,-8,31.57894736842105,39.473684210526315,47
T5,14,Real Sociedad,C29,38,13,8,17,47,56,-9,34.21052631578947,44.73684210526316,47
T5,15,CA Osasuna,C4,38,12,10,16,46,65,-19,31.57894736842105,42.10526315789473,46
T5,16,Racing,C23,38,12,8,18,41,58,-17,31.57894736842105,47.368421052631575,44
T5,17,RCD Mallorca,C22,38,10,9,19,42,63,-21,26.31578947368421,50.0,39
T5,18,Levante UD,C17,38,9,10,19,39,58,-19,23.684210526315788,50.0,37
T5,19,CD Numancia,C6,38,6,11,21,30,61,-31,15.789473684210526,55.26315789473685,29
T5,20,Albacete,C1,38,6,10,22,33,56,-23,15.789473684210526,57.89473684210527,28
T6,1,FC Barcelona,C11,38,25,7,6,80,35,45,65.78947368421053,15.789473684210526,82
T6,2,Real Madrid,C26,38,20,10,8,70,40,30,52.63157894736842,21.052631578947366,70
T6,3,Valencia CF,C39,38,19,12,7,58,33,25,50.0,18.421052631578945,69
